iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2012 8 0 0 -999 -999 -999 -999 -999 2.97 63.62 6.71 101.79 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 1 0 -999 -999 -999 -999 -999 3.16 64.24 6.62 101.78 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 2 0 -999 -999 -999 -999 -999 3.07 64.86 6.56 101.79 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 3 0 -999 -999 -999 -999 -999 3.19 64.31 6.61 101.81 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 4 0 -999 -999 -999 -999 -999 2.71 64.08 6.71 101.8 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 5 0 -999 -999 -999 -999 -999 3.21 63.82 6.71 101.83 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 6 0 -999 -999 -999 -999 -999 3.44 63.31 6.85 101.83 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 7 0 -999 -999 -999 -999 -999 3.71 63.55 6.82 101.85 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 8 0 -999 -999 -999 -999 -999 3.2 64.38 6.76 101.9 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 9 0 -999 -999 -999 -999 -999 3.28 65.01 6.73 101.99 0 3.69 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 10 0 -999 -999 -999 -999 -999 3.19 64.44 6.85 102.04 0 17.05 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 11 0 -999 -999 -999 -999 -999 3.31 63.73 7 102.07 0 36.24 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 12 0 -999 -999 -999 -999 -999 3.33 62.24 7.22 102.07 0 44.31 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 13 0 -999 -999 -999 -999 -999 3.33 60.85 7.54 102.06 0 51.77 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 14 0 -999 -999 -999 -999 -999 3.08 61.97 7.74 102.06 0 73.57 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 15 0 -999 -999 -999 -999 -999 3.47 63.25 7.69 102.08 0 57.44 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 16 0 -999 -999 -999 -999 -999 2.95 64.29 8 102.09 0 24.42 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 17 0 -999 -999 -999 -999 -999 2.39 65.63 8.19 102.12 0 0.68 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 18 0 -999 -999 -999 -999 -999 3.08 69.84 8.55 102.12 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 19 0 -999 -999 -999 -999 -999 2.87 74.69 8.61 102.13 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 20 0 -999 -999 -999 -999 -999 2.14 75.47 8.61 102.14 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 8 21 0 -999 -999 -999 -999 -999 1.87 76.82 8.88 102.14 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
