motorcycles;taxis;cars;bus and coaches;lgv;TotRig;TotArt;dummy
0.045;0.795;1.281;1.021;0.682;0.082;0.288;0
0.049;0.852;1.433;0.969;0.698;0.08;0.28;0
0.047;0.889;1.511;0.915;0.712;0.074;0.259;0
0.046;0.926;1.589;0.861;0.726;0.068;0.238;0
0.049;0.912;1.639;0.844;0.714;0.062;0.219;0
0.052;0.897;1.689;0.827;0.703;0.057;0.2;0
0.052;0.908;1.705;0.828;0.695;0.054;0.19;0
0.052;0.919;1.721;0.83;0.688;0.051;0.18;0
0.055;0.925;1.725;0.847;0.676;0.051;0.178;0
0.058;0.931;1.729;0.863;0.665;0.05;0.177;0
0.053;0.954;1.717;0.878;0.65;0.048;0.17;0
0.049;0.978;1.704;0.892;0.634;0.046;0.163;0
0.052;0.982;1.694;0.915;0.619;0.045;0.159;0
0.056;0.986;1.684;0.938;0.605;0.044;0.155;0
0.054;1.005;1.693;0.931;0.597;0.044;0.154;0
0.052;1.025;1.702;0.924;0.59;0.043;0.153;0
0.054;1.027;1.717;0.935;0.586;0.045;0.16;0
0.056;1.03;1.733;0.946;0.582;0.047;0.167;0
0.05;0.982;1.558;0.884;0.523;0.047;0.167;0
0.045;0.934;1.383;0.821;0.465;0.047;0.166;0
0.04;0.871;1.239;0.78;0.413;0.055;0.194;0
0.035;0.807;1.095;0.739;0.362;0.063;0.221;0
0.032;0.754;1;0.719;0.328;0.065;0.227;0
0.03;0.701;0.905;0.699;0.294;0.066;0.233;0
0.029;0.699;0.874;0.723;0.281;0.063;0.222;0
0.029;0.697;0.842;0.747;0.269;0.06;0.21;0
0.027;0.679;0.761;0.77;0.255;0.065;0.227;0
0.025;0.661;0.68;0.793;0.241;0.069;0.244;0
0.131;0.893;0.539;0.693;0.22;0.252;0.34;0
